airline_iata,date,load_factor
TG,2018-12,78.2199515998924
GS,2017-02,0.0
GS,2017-03,0.0
GS,2017-04,0.0
GS,2017-05,0.0
GS,2017-06,0.0
GS,2017-07,0.0
GS,2017-08,0.0
GS,2017-09,0.0
GS,2017-10,0.0
GS,2017-11,0.0
GS,2017-12,0.0
TV,2017-02,0.0
TV,2017-03,0.0
TV,2017-04,0.0
TV,2017-05,0.0
TV,2017-06,0.0
TV,2017-07,0.0
TV,2017-08,0.0
TV,2017-09,0.0
TV,2017-10,0.0
TV,2017-11,0.0
TV,2017-12,0.0
U6,2017-02,75.6
U6,2017-03,74.7462732606623
U6,2017-04,78.127474670792
U6,2017-05,80.695243123448
U6,2017-06,84.8083302322928
U6,2017-07,91.9440385179514
U6,2017-08,92.2393502543171
U6,2017-09,87.6703521434839
U6,2017-10,81.383543765852
U6,2017-11,78.9144472553168
U6,2017-12,74.496775256626
U6,2018-01,76.446663909413
U6,2018-02,77.8524365188918
U6,2018-03,78.1707545687011
U6,2018-04,76.7967867592111
U6,2018-05,79.0365431536805
U6,2018-06,85.573441735295
U6,2018-07,89.4927034539124
U6,2018-08,91.9838265171836
U6,2018-09,88.1516887367951
U6,2018-10,82.4845632067307
U6,2018-11,77.3282508256591
U6,2018-12,72.7591266030311
UJ,2017-02,0.0
UJ,2017-03,0.0
UJ,2017-04,0.0
UJ,2017-05,0.0
UJ,2017-06,0.0
UJ,2017-07,0.0
UJ,2017-08,0.0
UJ,2017-09,0.0
UJ,2017-10,0.0
UJ,2017-11,0.0
UJ,2017-12,0.0
UJ,2018-01,0.0
UJ,2018-02,0.0
UJ,2018-03,0.0
UJ,2018-04,0.0
UJ,2018-05,0.0
UJ,2018-06,0.0
UJ,2018-07,0.0
UJ,2018-08,0.0
UJ,2018-09,0.0
UJ,2018-10,0.0
UJ,2018-11,0.0
UJ,2018-12,0.0
UT,2017-02,70.4355511199341
UT,2017-03,68.6
UT,2017-04,73.5663943811948
UT,2017-05,71.3045118432332
UT,2017-06,76.3045296363325
UT,2017-07,83.7473776580805
UT,2017-08,82.5916499743701
UT,2017-09,80.1933646478026
UT,2017-10,77.6457253833816
UT,2017-11,78.1453873917349
UT,2017-12,75.9
UT,2018-01,75.5903258240172
UT,2018-02,76.5847405785302
UT,2018-03,77.9729962268586
UT,2018-04,81.1513762919772
UT,2018-05,76.0435696297513
UT,2018-06,78.7415167429339
UT,2018-07,84.9502089688874
UT,2018-08,85.3668271675969
UT,2018-09,81.5395185436446
UT,2018-10,79.8859862447217
UT,2018-11,79.4560198378529
UT,2018-12,78.4604370623265
7W,2017-02,93.1534434152235
7W,2017-03,94.3973261869233
7W,2018-01,92.9576662658989
7W,2018-02,93.4136675157469
7W,2018-03,95.6492116646634
7W,2018-04,90.4676925929359
7W,2018-05,88.0709979601942
7W,2018-06,91.8003993312014
7W,2018-07,93.690811689136
7W,2018-08,95.242134932368
7W,2018-09,95.4731402117615
7W,2018-10,88.8724166175883
7W,2018-11,93.9441121409981
7W,2018-12,94.1315588617869
YC,2017-02,63.9053686514141
YC,2017-03,63.5292964622956
YC,2017-04,69.315156599363
YC,2017-05,68.5860071063821
YC,2017-06,67.8967704620856
YC,2017-07,81.7021715277497
YC,2017-08,80.8342409470994
YC,2017-09,71.735481389168
YC,2017-10,66.8729388074586
YC,2017-11,63.1279416512532
YC,2017-12,61.5506128192844
YC,2018-01,63.0
YC,2018-02,59.6996012593546
YC,2018-03,59.5992778700902
YC,2018-04,62.65576866781
YC,2018-05,71.9671724667838
YC,2018-06,75.7468990702549
YC,2018-07,82.1969914342861
YC,2018-08,82.3440774086758
YC,2018-09,77.4487063458766
YC,2018-10,63.2724936338571
YC,2018-11,59.8595872793206
YC,2018-12,64.542956490544
EI,2019-01,68.114406779661
EI,2019-02,68.7022900763359
EI,2019-03,81.2923633077271
EI,2019-04,80.3100775193798
EI,2019-05,80.3760683760684
EI,2019-06,89.0619591554171
EI,2019-07,88.5103540414162
EI,2019-08,88.3552631578947
EI,2019-09,84.6074022829471
EI,2019-10,83.2841328413284
EI,2019-11,78.5231877532643
EI,2019-12,78.10086324398
VW,2019-01,42.9637287843543
VW,2019-02,47.2001830942936
VW,2019-03,49.288256227758
VW,2019-04,47.6631246157899
VW,2019-05,46.2659820105455
VW,2019-06,49.1065553901029
VW,2019-07,53.3667502088555
VW,2019-08,50.5259884956211
VW,2019-09,45.4754797441365
VW,2019-10,49.2040716419926
VW,2019-11,54.773066638886
VW,2019-12,55.3098827470687
AM,2019-01,83.6426736116442
AM,2019-02,82.1483969275471
AM,2019-03,84.1931401544227
AM,2019-04,82.9641565777665
AM,2019-05,85.6625552737942
AM,2019-06,85.9737743082964
AM,2019-07,89.3400032130957
AM,2019-08,85.3456219700423
AM,2019-09,82.5057828411012
AM,2019-10,82.0600669733814
AM,2019-11,83.3963080495711
AM,2019-12,81.6037407066653
NY,2019-01,57.1
NY,2019-02,66.0
NY,2019-03,68.0
NY,2019-04,69.0
NY,2019-05,69.2
NY,2019-06,72.3
NY,2019-07,72.1
NY,2019-08,76.3
NY,2019-09,73.0
NY,2019-10,74.3
NY,2019-11,71.9
NY,2019-12,69.0
AI,2019-01,82.2017774574712
AI,2019-02,81.0515949814658
AI,2019-03,77.6908045250599
AI,2019-04,80.4135670299447
AI,2019-05,82.3637517892065
ZW,2019-01,73.5209373834148
ZW,2019-02,73.3679445126546
ZW,2019-03,79.8622993344841
ZW,2019-04,81.6823782158921
ZW,2019-05,82.8379212585659
ZW,2019-06,84.7843253437219
ZW,2019-07,84.6852716582598
ZW,2019-08,81.9580495779331
ZW,2019-09,78.3461464471083
ZW,2019-10,82.2442477398947
ZW,2019-11,78.1772692835311
ZW,2019-12,81.6928262036349
5Y,2019-01,19.7533639484375
